number,value,datetime_start,datetime_complete,duration,params_activation_1,params_activation_2,params_activation_3,params_dense_dropout_0,params_dense_dropout_1,params_dense_layers,params_dense_units_0,params_dense_units_1,params_dropout_1,params_dropout_2,params_dropout_3,params_epochs,params_learning_rate,params_loss,params_optimizer,params_patience,params_return_sequences,params_units_1,params_units_2,params_units_3,params_use_attention,params_use_third_layer,params_weight_decay,state
31,0.01330974418669939,2025-02-26 03:47:13.170935,2025-02-26 03:47:25.655765,0 days 00:00:12.484830,tanh,selu,,0.3188185921745506,,1,32.0,,0.3252975516807821,0.45256591775651633,,36,0.0018305690102789652,huber,adamw,4,True,256,64,,True,False,1.091592294204124e-06,COMPLETE
32,7.906245446065441e-05,2025-02-26 03:47:25.657051,2025-02-26 03:47:40.090285,0 days 00:00:14.433234,relu,selu,,,,0,,,0.38945601539568997,0.4625318434244643,,20,0.0007179291301649269,huber,adam,5,False,256,256,,False,False,,COMPLETE
33,7.893139991210774e-05,2025-02-26 03:47:40.091525,2025-02-26 03:47:54.212201,0 days 00:00:14.120676,relu,selu,,,,0,,,0.39612775285197166,0.47573013863615243,,19,0.0007854548823835303,huber,adam,5,False,256,256,,False,False,,COMPLETE
34,6.751684850314632e-05,2025-02-26 03:47:54.213522,2025-02-26 03:48:07.506616,0 days 00:00:13.293094,relu,selu,,,,0,,,0.39666976560412703,0.5481841818142388,,15,0.0014336012152537981,huber,adam,4,False,256,256,,False,False,,COMPLETE
35,7.953472231747583e-05,2025-02-26 03:48:07.507852,2025-02-26 03:48:22.255354,0 days 00:00:14.747502,relu,selu,,,,0,,,0.3048056311687412,0.557634105192631,,15,0.001479935036301121,huber,adam,4,False,256,256,,False,False,,COMPLETE
36,0.0001521175872767344,2025-02-26 03:48:22.256608,2025-02-26 03:48:34.929346,0 days 00:00:12.672738,relu,selu,,,,0,,,0.10504426832246416,0.5209137839192766,,24,0.0023706169417339234,huber,adamw,4,False,192,256,,False,False,0.0006242571938778008,COMPLETE
37,,2025-02-26 03:48:34.930567,2025-02-26 03:48:44.120488,0 days 00:00:09.189921,tanh,selu,,,,0,,,0.3616880848653088,0.596714262938125,,17,0.010088044083056856,mean_absolute_error,adam,5,False,320,256,,False,False,,FAIL
38,0.687085747718811,2025-02-26 03:48:44.121999,2025-02-26 03:48:53.200044,0 days 00:00:09.078045,tanh,selu,,,,0,,,0.4643009073001609,0.5992435680810917,,17,0.0091519982370633,mean_absolute_error,adam,5,False,320,256,,False,False,,COMPLETE
39,,2025-02-26 03:48:53.201369,2025-02-26 03:49:07.682883,0 days 00:00:14.481514,relu,selu,,,,0,,,0.353885753325687,0.5229090712839499,,17,0.020331220763012657,huber,adam,6,False,64,192,,False,False,,FAIL
40,,2025-02-26 03:49:07.684610,2025-02-26 03:49:19.919137,0 days 00:00:12.234527,relu,selu,,,,0,,,0.3509311713130601,0.5256435083923549,,39,0.017464249421143368,huber,adam,6,False,64,192,,False,False,,FAIL
41,0.000161165080498904,2025-02-26 03:49:19.920753,2025-02-26 03:49:36.133116,0 days 00:00:16.212363,relu,selu,,,,0,,,0.3567077295321914,0.5267461058571126,,18,0.0005798748229358197,huber,adam,6,False,64,192,,False,False,,COMPLETE
42,,2025-02-26 03:49:36.134446,2025-02-26 03:49:45.777434,0 days 00:00:09.642988,tanh,selu,,,,0,,,0.24227746971637848,0.4297243694752372,,39,0.02359720901665548,huber,adam,5,True,128,256,,True,False,,FAIL
43,0.0011361974757164717,2025-02-26 03:49:45.778996,2025-02-26 03:50:06.826746,0 days 00:00:21.047750,tanh,selu,,,,0,,,0.2435834137176455,0.4209414305294811,,22,0.0012671636369173997,huber,adam,5,True,128,256,,True,False,,COMPLETE
44,387.48095703125,2025-02-26 03:50:06.828122,2025-02-26 03:50:15.263393,0 days 00:00:08.435271,tanh,selu,,0.328595787522935,,1,128.0,,0.3354252089551385,0.5732254869827189,,30,0.02189510723789816,mean_absolute_error,adamw,4,False,256,192,,False,False,1.151241649408801e-05,COMPLETE
45,0.0021917913109064102,2025-02-26 03:50:15.264858,2025-02-26 03:50:41.685673,0 days 00:00:26.420815,selu,tanh,relu,,,0,,,0.17944031364392407,0.5302834114750283,0.48371196898415264,38,0.004055377422417822,huber,adam,3,True,256,192,64.0,False,True,,COMPLETE
46,0.016277067363262177,2025-02-26 03:50:41.686942,2025-02-26 03:50:57.095898,0 days 00:00:15.408956,relu,selu,,0.10754995423171385,,1,128.0,,0.3738758251345064,0.5056669474868203,,34,0.0028260373548388527,huber,rmsprop,4,False,128,256,,True,False,,COMPLETE
47,6.74895491101779e-05,2025-02-26 03:50:57.097434,2025-02-26 03:51:11.425102,0 days 00:00:14.327668,relu,selu,,,,0,,,0.40103873007510865,0.47287439579445323,,19,0.0007788502828854404,huber,adam,5,False,256,256,,False,False,,COMPLETE
48,8.04715309641324e-05,2025-02-26 03:51:11.426330,2025-02-26 03:51:24.113260,0 days 00:00:12.686930,relu,selu,,,,0,,,0.4079025235152868,0.5508184012412292,,15,0.00037494123131736175,huber,adam,6,False,256,256,,False,False,,COMPLETE
49,9.018060518428683e-05,2025-02-26 03:51:24.114570,2025-02-26 03:51:37.561788,0 days 00:00:13.447218,relu,selu,,,,0,,,0.46357540296116584,0.42631615704021764,,40,0.0005846797089842942,huber,adam,5,False,256,256,,False,False,,COMPLETE
